"activity-musique","","Musique"
"activity-chant","musique","Chant"
"activity-opera","musique","Opéra"
"activity-expos","","Expos"
"activity-musees","expos","Musées"
"activity-bricolage","","Bricolage"
"activity-decoration","bricolage","Décoration"
"activity-lecture","","Lecture"
"activity-ecriture","lecture","Ecriture"
"activity-voyages","","Voyages"
"activity-caritative","","Action cartitative"
"activity-volontariat","caritative","Volontariat"
"activity-sport","","Sport"
"activity-balades","","Balades"
"activity-nature","balades","Nature"
"activity-animaux","","Animaux"
"activity-jardinage","animaux","Jardinage"
"activity-apero","","Apéro"
"activity-internet","","Internet"
"activity-scrapbooking","","Scrapbooking"
"activity-dessin","scrapbooking","Dessin"
"activity-peinture","scrapbooking","Peinture"
"activity-sculpture","scrapbooking","Sculpture"
"activity-theatre","","Théatre"
"activity-danse","theatre","Danse"
"activity-spectacle","theatre","Spectacle vivant"
"activity-television","","Télévision"
"activity-cinema","television","Cinéma"
"activity-photo","","Photo"
"activity-shopping","","Shopping"
"activity-cuisine","","Cuisine"
"activity-resto","cuisine","Resto entre amis"
"activity-societe","","Jeux de société"
"activity-cartes","societe","Jeux de cartes"
"activity-club","","Bar / Clubs"
"activity-afterwork","club","Soirées Afterwork"
"activity-soirees","club","Soirées entre filles"
