"holiday-mer","Mer"
"holiday-montagne","Montagne"
"holiday-campagne","Campagne"
"holiday-ville","Ville"
"holiday-france","France"
"holiday-etranger","Etranger"
"holiday-club","Clubs de vacances"
"holiday-camping","Camping"
"holiday-itinerant","Itinérant"
"holiday-location","Location"
"holiday-maison","Maison de famille"
"holiday-decouverte","Découverte"
"holiday-culture","Culturelle"
"holiday-farniente","Farniente"
"holiday-sport","Sport"
"holiday-escapade","Escapade en couple"
"holiday-croisiere","Croisière"
