"1,2,3 Famille",21 rue Desaix,75015,PARIS,01 43 06 00 50,,http://www.123famille.com/,"Lundi, Mardi, Jeudi, Vendredi: de 9h à 12h et de 14h à 18h. Mercredi, Samedi: de 8h30 à 12h et de 14h à 19h. ","Lieux de vie, de loisirs et d'échanges pour la famille, 2 boutiques dans Paris pour vous recevoir, acceuillantes et chaleureuses! Vous y trouverez encore plus de choix et des nouveautés chaque semaine. ",Magasin Jouet,Dupleix,M6,
Laurinna,3 rue Clodion,75015,PARIS,01 83 97 14 12 ,contact@laurinna.com,www.laurinna.com,du Mardi au Samedi: de 10h30 à 19h,"Vêtements enfants de marque, de 0 à 12 ans",Habillement enfant,Dupleix,M6,
Fruit de la Passion,111 rue du théâtre,75015,PARIS,01 45 78 77 02,nathalie@fruit-de-la-passion.com,http://www.fruit-de-la-passion.fr,le Lundi de 14h à 19h. Du Mardi au Samedi de 11h à 19h,,Habillement femme enceinte,Emile Zola,M10,Nathalie Bichara-Jabour
Au Manège de la Mode Enfatine,108 rue Brancion,75015,PARIS,09 80 88 17 12,manege.mode.enfantine@gmail.com,http://www.manege-mode-enfantine.fr/,du Lundi au Samedi: de 14h à 20h,"Entrez dans l'univers de la mode enfantine. Vêtements, peluches, doudous et jouets 1er âge. ",Habillement enfant,porte de Brancion ,T3,
Croque Souris,41 rue Lecourbe,75015,PARIS,01 47 34 75 51,,,du Mardi au Samedi: de 10h30 à 19h,"Vêtements, peluches, doudous et jouets 1er âge",,Sevres Lecourbe,M6,
Au Jardin Cherioux,16 place Adolphe Chérioux,75015,PARIS,01 48 28 28 26,,www.au-jardin-cherioux.fr,du Mardi au Samedi: de 10h à 18h30,"Nous mettons à votre disposition un espace unique, entièrement consacré à ce domaine parce que la chaussure est essentielle. ",Chaussures enfant,Vaugirard,M12,
Secrets d'enfance,90 rue de l'abbé Groult,75015,PARIS,01 55 76 97 75,secretsdenfance@orange.fr,www.secretsdenfance.fr,le Lundi de 14h à 19h. Du Mardi au Samedi de 10h à 19h,Venez découvrir cet espace dédié à l'enfance qui réunit en un même lieu un dépôt vente de vêtements d'enfants de 0 à 6 ans ainsi que de la décoration. ,Décoration,Convention,M12,
A Nos Atours,54 rue Dutot,75015,PARIS,01 47 83 72 82,,,,Un magasin de dépôt vente où les vêtements sont de qualité. Un magasin à voir et à visiter !,Dépôt-vente,Volontaires,M12,
Bambin Troc,4 rue abbé Grout,75015,PARIS,01 42 50 77 93,,www.bambintroc.fr,"Du Mardi, Jeudi, Vendredi: de 10h30 à 18h30. Mercredi de 14h30 à 18h30. Samedi de 10h30 à 12h30 et de 14h30 à 18h30.","Vous voulez de la qualité et des marques, mais sans vous ruiner ? Vous cherchez des vêtements pour vos bébés et enfants, mais aussi de la puériculture, des poussettes, des jeux, des vêtements de ski ? Alors, venez vite fureter chez BAMBIN TROC où notre dépôt-vente vous accueille depuis 30 ans dans une atmosphère chaleureuse et conviviale, sur les deux étages de la boutique. Le dépôt-vente est en libre service, vous pouvez donc y flâner à votre guise !",Dépôt-vente,Commerce/Faure,M8,
Cupidon,95 rue Blomet,75015,PARIS,01 48 42 03 79,,,du Lundi au Vendredi: de 10h30 à 14h30 et de 16h30 à 19. Le Samedi de 10h30 à 13h et de 15h30 à 19h.,,Dépôt-vente,Vaugirard,M12,
