"language-french","french-french","France"
"language-french","french-alsace","Alsace"
"language-french","french-bretagne","Bretagne"
"language-french","french-corse","Corse"
"language-french","french-basque","Pays Basque"
"language-french","french-belge","Belgique"
"language-french","french-canadien","Canada"
"language-french","french-normand","Normandie"
"language-french","french-paca","PACA"
"language-french","french-chti","Nord - PdC"
"language-english","english-uk","Royaume-Uni"
"language-english","english-us","Etats Unis"
"language-english","english-irlandais","Irlande"
"language-english","english-oz","Australie"
"language-english","english-canadien","Canada"
"language-german","german-german","Allemagne"
"language-german","german-suisse","Suisse"
"language-german","german-turk","Turquie"
"language-german","german-ost","Autriche"
"language-german","german-belge","Belgique"
"language-italian","italian-italia","Italie"
"language-italian","italian-sicile","Sicile"
"language-italian","italian-suisse","Suisse"
"language-spanish","spanish-spain","Espagne"
"language-spanish","spanish-latam","Amérique Latine"
"language-spanish","spanish-mexico","Mexique"
"language-spanish","spanish-catalogne","Catalogne"
"language-spanish","spanish-castille","Castille"
"language-portugese","portugese-portugal","Portual"
"language-portugese","portugese-brazil","Brésil"
"language-chinese","chinese-mandarin","Mandarin"
"language-chinese","chinese-wu","Wu"
"language-arab","arab-maroc","Maroc"
"language-arab","arab-tunisie","Tunisie"
"language-arab","arab-algerie","Algerie"
"language-arab","arab-me","Moyen Orient"
"language-arab","arab-asie","Asie"
"language-arab","arab-emirats","Emirats"
"language-arab","arab-liban","Liban"
"language-turk","turk-turk","Turquie"
"language-turk","turk-chypre","Chypre"
"language-turk","turk-greece","Grèce"
"language-turk","turk-german","Allemagne"
"language-dutch","dutch-nederland","Pays Bas"
"language-dutch","dutch-belge","Belgique"
"language-dutch","dutch-afrikaans","Afrikaans"
"language-russian","russian-russie","Russie"
"language-russian","russian-armenie","Arménie"
"language-russian","russian-polska","Pologne"
"language-russian","russian-ukraine","Ukraine"
"language-polish","polish-polska","Pologne"
"language-polish","polish-ukraine","Ukraine"
"language-polish","polish-us","Etats Unis"
"language-polish","polish-german","Allemagne"
"language-greek","greek-greece","Grèce"
"language-greek","greek-chypre","Chypre"
"language-greek","greek-italia","Italie"
"language-greek","greek-albanie","Albanie"
